household_ID,cluster,consumption,mean,std
ID2132,0.0,173.30434782608697,131.173002724289,98.9601521767689
ID2137,3.0,226.64,113.57842232275969,77.6044360447549
ID2140,4.0,344.16,222.24722808458992,139.78949632344612
ID2141,2.0,165.28,92.95002341552134,68.66288330097842
ID2142,2.0,165.68,92.95002341552134,68.66288330097842
ID2147,1.0,269.12,153.4128821343718,123.00418083421654
ID2150,1.0,192.32,153.4128821343718,123.00418083421654
ID2153,3.0,186.28,113.57842232275969,77.6044360447549
ID2163,0.0,316.68,131.173002724289,98.9601521767689
ID2165,2.0,129.24,92.95002341552134,68.66288330097842
ID2179,0.0,216.68,131.173002724289,98.9601521767689
ID2184,2.0,126.58333333333333,92.95002341552134,68.66288330097842
ID2186,0.0,945.48,131.173002724289,98.9601521767689
ID2205,0.0,179.24,131.173002724289,98.9601521767689
ID2207,2.0,137.4,92.95002341552134,68.66288330097842
ID2210,2.0,259.0,92.95002341552134,68.66288330097842
ID2219,2.0,292.08,92.95002341552134,68.66288330097842
ID2220,0.0,551.44,131.173002724289,98.9601521767689
ID2221,1.0,323.24,153.4128821343718,123.00418083421654
ID2223,1.0,260.2,153.4128821343718,123.00418083421654
ID2229,4.0,323.4,222.24722808458992,139.78949632344612
ID2239,2.0,183.32,92.95002341552134,68.66288330097842
ID2250,2.0,127.76,92.95002341552134,68.66288330097842
ID2251,0.0,442.76,131.173002724289,98.9601521767689
ID2257,2.0,247.96,92.95002341552134,68.66288330097842
ID2261,2.0,120.88,92.95002341552134,68.66288330097842
ID2263,2.0,127.92,92.95002341552134,68.66288330097842
ID2270,4.0,658.5909090909091,222.24722808458992,139.78949632344612
ID2273,0.0,251.48,131.173002724289,98.9601521767689
ID2275,0.0,167.12,131.173002724289,98.9601521767689
ID2278,0.0,271.56,131.173002724289,98.9601521767689
ID2280,0.0,228.44,131.173002724289,98.9601521767689
ID2288,3.0,239.0,113.57842232275969,77.6044360447549
ID2307,0.0,217.68,131.173002724289,98.9601521767689
ID2308,2.0,114.0,92.95002341552134,68.66288330097842
ID2310,2.0,194.76,92.95002341552134,68.66288330097842
ID2330,2.0,143.4,92.95002341552134,68.66288330097842
ID2335,4.0,302.64,222.24722808458992,139.78949632344612
ID2338,1.0,198.0,153.4128821343718,123.00418083421654
ID2342,2.0,179.28,92.95002341552134,68.66288330097842
ID2350,4.0,319.24,222.24722808458992,139.78949632344612
ID2356,2.0,142.84,92.95002341552134,68.66288330097842
ID2358,2.0,130.08,92.95002341552134,68.66288330097842
ID2363,0.0,381.36,131.173002724289,98.9601521767689
ID2368,1.0,215.32,153.4128821343718,123.00418083421654
ID2372,0.0,223.0,131.173002724289,98.9601521767689
ID2377,0.0,214.6,131.173002724289,98.9601521767689
ID2379,2.0,152.88,92.95002341552134,68.66288330097842
ID2386,2.0,131.0,92.95002341552134,68.66288330097842
ID2391,4.0,388.92,222.24722808458992,139.78949632344612
ID2395,2.0,219.76,92.95002341552134,68.66288330097842
ID2398,0.0,226.96,131.173002724289,98.9601521767689
ID2411,3.0,190.92,113.57842232275969,77.6044360447549
ID2416,1.0,312.24,153.4128821343718,123.00418083421654
ID2417,1.0,231.96,153.4128821343718,123.00418083421654
ID2418,2.0,146.0,92.95002341552134,68.66288330097842
ID2419,0.0,170.24,131.173002724289,98.9601521767689
ID2420,4.0,492.92,222.24722808458992,139.78949632344612
ID2422,4.0,267.875,222.24722808458992,139.78949632344612
ID2425,2.0,141.44,92.95002341552134,68.66288330097842
ID2431,2.0,118.48,92.95002341552134,68.66288330097842
ID2438,0.0,168.84,131.173002724289,98.9601521767689
ID2439,1.0,336.7142857142857,153.4128821343718,123.00418083421654
ID2448,2.0,180.92,92.95002341552134,68.66288330097842
ID2450,4.0,343.6,222.24722808458992,139.78949632344612
ID2467,2.0,121.2,92.95002341552134,68.66288330097842
ID2469,1.0,200.8,153.4128821343718,123.00418083421654
ID2470,1.0,249.0,153.4128821343718,123.00418083421654
ID2480,4.0,313.16,222.24722808458992,139.78949632344612
ID2483,2.0,137.68,92.95002341552134,68.66288330097842
ID2497,2.0,126.28,92.95002341552134,68.66288330097842
ID2505,2.0,119.48,92.95002341552134,68.66288330097842
ID2513,2.0,117.16,92.95002341552134,68.66288330097842
ID2524,1.0,203.88,153.4128821343718,123.00418083421654
ID2526,2.0,208.33333333333334,92.95002341552134,68.66288330097842
ID2528,0.0,170.64,131.173002724289,98.9601521767689
ID2532,0.0,162.76,131.173002724289,98.9601521767689
ID2533,2.0,294.68,92.95002341552134,68.66288330097842
ID2545,2.0,164.12,92.95002341552134,68.66288330097842
ID2553,0.0,168.69565217391303,131.173002724289,98.9601521767689
ID2559,2.0,242.04,92.95002341552134,68.66288330097842
ID2560,1.0,279.6,153.4128821343718,123.00418083421654
ID2561,1.0,334.12,153.4128821343718,123.00418083421654
ID2566,2.0,123.44,92.95002341552134,68.66288330097842
ID2568,0.0,189.64,131.173002724289,98.9601521767689
ID2577,0.0,165.0,131.173002724289,98.9601521767689
ID2584,2.0,250.08,92.95002341552134,68.66288330097842
ID2588,4.0,479.72,222.24722808458992,139.78949632344612
ID2608,2.0,150.76,92.95002341552134,68.66288330097842
ID2609,2.0,398.75,92.95002341552134,68.66288330097842
ID2610,0.0,194.56,131.173002724289,98.9601521767689
ID2615,2.0,165.6,92.95002341552134,68.66288330097842
