Cluster,,household_ID,Cluster,label
1,528,ID0529,1,normal
1,529,ID0530,1,normal
1,533,ID0534,1,normal
1,536,ID0537,1,normal
1,537,ID0538,1,normal
1,545,ID0546,1,normal
1,547,ID0548,1,normal
1,549,ID0550,1,normal
1,550,ID0551,1,normal
1,556,ID0557,1,normal
1,562,ID0563,1,normal
1,564,ID0565,1,normal
1,566,ID0567,1,normal
1,568,ID0569,1,normal
1,573,ID0574,1,normal
1,574,ID0575,1,normal
1,581,ID0582,1,normal
1,582,ID0583,1,low
1,587,ID0588,1,normal
1,589,ID0590,1,normal
1,591,ID0592,1,normal
1,593,ID0594,1,normal
1,594,ID0595,1,normal
1,595,ID0596,1,normal
1,599,ID0600,1,high
1,600,ID0601,1,normal
1,602,ID0603,1,normal
1,603,ID0604,1,normal
1,607,ID0608,1,normal
1,609,ID0610,1,normal
1,611,ID0612,1,normal
1,617,ID0618,1,normal
1,618,ID0619,1,normal
1,621,ID0622,1,normal
1,623,ID0624,1,normal
1,628,ID0629,1,normal
1,635,ID0636,1,normal
1,636,ID0637,1,normal
1,637,ID0638,1,normal
1,648,ID0649,1,normal
1,649,ID0650,1,normal
1,652,ID0653,1,normal
1,654,ID0655,1,normal
1,657,ID0658,1,normal
1,660,ID0661,1,high
1,661,ID0662,1,normal
1,662,ID0663,1,normal
1,668,ID0669,1,high
1,669,ID0670,1,normal
1,673,ID0674,1,normal
1,675,ID0676,1,normal
1,678,ID0679,1,normal
1,680,ID0681,1,normal
1,681,ID0682,1,normal
1,686,ID0687,1,normal
1,689,ID0690,1,normal
1,690,ID0691,1,normal
1,692,ID0693,1,normal
1,693,ID0694,1,normal
1,694,ID0695,1,normal
1,695,ID0696,1,normal
1,696,ID0697,1,normal
1,701,ID0702,1,normal
1,702,ID0703,1,normal
1,703,ID0704,1,normal
1,704,ID0705,1,normal
1,705,ID0706,1,normal
1,715,ID0716,1,normal
1,720,ID0721,1,high
1,727,ID0728,1,normal
1,728,ID0729,1,low
1,734,ID0735,1,normal
1,736,ID0737,1,normal
1,737,ID0738,1,normal
1,740,ID0741,1,high
1,741,ID0742,1,normal
1,742,ID0743,1,normal
1,748,ID0749,1,normal
1,749,ID0750,1,normal
1,751,ID0752,1,normal
1,752,ID0753,1,normal
1,753,ID0754,1,normal
1,754,ID0755,1,normal
1,755,ID0756,1,normal
1,764,ID0765,1,normal
1,766,ID0767,1,low
1,767,ID0768,1,normal
1,769,ID0770,1,normal
1,773,ID0774,1,normal
1,775,ID0776,1,normal
1,777,ID0778,1,normal
1,778,ID0779,1,normal
1,779,ID0780,1,normal
1,782,ID0783,1,low
1,783,ID0784,1,normal
1,784,ID0785,1,normal
1,785,ID0786,1,normal
1,787,ID0788,1,normal
1,790,ID0791,1,normal
1,791,ID0792,1,normal
1,792,ID0793,1,high
1,794,ID0795,1,normal
1,795,ID0796,1,high
1,803,ID0804,1,normal
1,805,ID0806,1,high
1,808,ID0809,1,normal
1,810,ID0811,1,normal
1,812,ID0813,1,normal
1,814,ID0815,1,normal
1,817,ID0818,1,normal
1,818,ID0819,1,normal
1,819,ID0820,1,normal
1,820,ID0821,1,normal
1,821,ID0822,1,high
1,828,ID0829,1,normal
1,829,ID0830,1,normal
1,830,ID0831,1,normal
1,831,ID0832,1,normal
1,832,ID0833,1,high
1,835,ID0836,1,normal
1,836,ID0837,1,normal
1,838,ID0839,1,normal
1,844,ID0845,1,normal
1,845,ID0846,1,normal
1,849,ID0850,1,normal
1,850,ID0851,1,normal
1,852,ID0853,1,normal
1,853,ID0854,1,normal
1,854,ID0855,1,normal
1,855,ID0856,1,low
1,857,ID0858,1,normal
1,858,ID0859,1,normal
1,859,ID0860,1,normal
1,860,ID0861,1,normal
1,864,ID0865,1,normal
1,866,ID0867,1,normal
1,870,ID0871,1,normal
1,881,ID0882,1,normal
1,882,ID0883,1,normal
1,884,ID0885,1,normal
1,886,ID0887,1,normal
1,894,ID0895,1,normal
1,897,ID0898,1,normal
1,901,ID0902,1,normal
1,903,ID0904,1,normal
1,905,ID0906,1,normal
1,913,ID0914,1,normal
1,917,ID0918,1,normal
1,918,ID0919,1,normal
1,922,ID0923,1,normal
1,923,ID0924,1,normal
1,925,ID0926,1,normal
1,926,ID0927,1,normal
1,929,ID0930,1,normal
1,938,ID0939,1,high
1,940,ID0941,1,normal
1,945,ID0946,1,normal
1,946,ID0947,1,normal
1,949,ID0950,1,normal
1,959,ID0960,1,normal
1,962,ID0963,1,normal
1,969,ID0970,1,normal
1,970,ID0971,1,normal
1,971,ID0972,1,normal
1,972,ID0973,1,normal
1,974,ID0975,1,high
1,977,ID0978,1,normal
1,978,ID0979,1,normal
